기준년월,제주 대분류,제주 중분류,업종명,성별,연령대별,year,month,카드이용금액
2016-04-01,제주시,애월읍,농축수산품,여,50대,2016,4,2735450.531196796
2016-04-01,제주시,노형동,기념품점,여,40대,2016,4,1790448.0504780726
2016-04-01,서귀포시,대륜동,농축수산품,여,30대,2016,4,6986770.517167652
2016-04-01,서귀포시,남원읍,농축수산품,여,50대,2016,4,5410058.453660901
2016-04-01,제주시,용담2동,농축수산품,남,30대,2016,4,19206181.553300608
2016-04-01,제주시,노형동,농축수산품,여,30대,2016,4,2468266.7129445137
2016-04-01,제주시,용담2동,농축수산품,여,30대,2016,4,18782334.865933303
2016-04-01,제주시,이도2동,스포츠레져용품,남,40대,2016,4,2321908.4975647964
2016-04-01,제주시,용담2동,의원,여,30대,2016,4,996362.474811532
2016-04-01,제주시,삼도2동,정장(여성),여,40대,2016,4,2076560.5370724
2016-04-01,제주시,이도2동,농축수산품,남,40대,2016,4,15064792.659593383
2016-04-01,제주시,이도2동,농축수산품,남,30대,2016,4,8154021.1977211535
2016-04-01,제주시,노형동,기념품점,여,50대,2016,4,1220337.7735180976
2016-04-01,서귀포시,예래동,농축수산품,여,30대,2016,4,4676427.214421903
2016-04-01,제주시,이도2동,정장(여성),남,20대,2016,4,1395834.2091690544
2016-04-01,제주시,노형동,기념품점,남,40대,2016,4,1985828.3788175958
2016-04-01,제주시,이도2동,정장(여성),남,30대,2016,4,1080778.1560535794
2016-04-01,서귀포시,예래동,스포츠레져용품,남,40대,2016,4,1246749.878034712
2016-04-01,제주시,애월읍,농축수산품,남,40대,2016,4,4154596.674805043
2016-04-01,제주시,연동,스포츠레져용품,여,20대,2016,4,8958409.728250321
2016-04-01,서귀포시,성산읍,농축수산품,여,50대,2016,4,11995301.978978777
2016-04-01,제주시,노형동,기념품점,여,20대,2016,4,2705975.847742045
2016-04-01,서귀포시,성산읍,농축수산품,여,30대,2016,4,14904894.861815223
2016-04-01,제주시,이도2동,정장(여성),여,40대,2016,4,1735673.6581540145
2016-04-01,서귀포시,예래동,스포츠레져용품,남,50대,2016,4,1695533.9330367066
2016-04-01,제주시,애월읍,농축수산품,여,40대,2016,4,2817572.4755104086
2016-04-01,서귀포시,예래동,농축수산품,여,20대,2016,4,2117469.041768519
2016-04-01,제주시,노형동,농축수산품,여,40대,2016,4,3273446.345556882
2016-04-01,제주시,노형동,농축수산품,남,30대,2016,4,2831736.7199191246
2016-04-01,제주시,삼도2동,정장(여성),여,50대,2016,4,1333933.8038583144
2016-04-01,서귀포시,남원읍,기념품점,남,40대,2016,4,1198992.1634006621
2016-04-01,서귀포시,성산읍,농축수산품,여,40대,2016,4,11034650.211529726
2016-04-01,제주시,연동,기념품점,남,50대,2016,4,3702773.693843644
2016-04-01,서귀포시,남원읍,농축수산품,여,30대,2016,4,5970109.603210301
2016-04-01,제주시,삼도2동,정장(여성),남,40대,2016,4,1470247.1840935743
2016-04-01,서귀포시,예래동,농축수산품,여,40대,2016,4,3751452.3503693417
2016-04-01,제주시,용담2동,농축수산품,여,50대,2016,4,35833227.845600694
2016-04-01,서귀포시,대륜동,농축수산품,여,20대,2016,4,2135176.939774321
2016-04-01,제주시,노형동,농축수산품,여,50대,2016,4,3738438.981030085
2016-04-01,제주시,삼도2동,농축수산품,남,40대,2016,4,1189503.3903262224
2016-04-01,제주시,노형동,의원,여,50대,2016,4,2940049.161872273
2016-04-01,제주시,삼도2동,농축수산품,여,50대,2016,4,1046718.2000886542
2016-04-01,제주시,애월읍,농축수산품,남,50대,2016,4,4622168.222383386
2016-04-01,제주시,용담2동,농축수산품,여,40대,2016,4,21854610.35247277
2016-04-01,서귀포시,남원읍,농축수산품,남,40대,2016,4,8780476.511112554
2016-04-01,제주시,이도2동,정장(여성),여,30대,2016,4,3217862.61679374
2016-04-01,제주시,용담2동,농축수산품,여,20대,2016,4,8001584.821194833
2016-04-01,제주시,애월읍,농축수산품,남,20대,2016,4,1001980.9773343563
2016-04-01,제주시,용담2동,농축수산품,남,20대,2016,4,4392324.728511696
2016-04-01,제주시,연동,의원,여,20대,2016,4,1439884.8024544083
2016-04-01,제주시,삼도2동,스포츠레져용품,남,20대,2016,4,1981935.9899227594
2016-04-01,제주시,이도2동,농축수산품,여,40대,2016,4,14034103.482980657
2016-04-01,제주시,연동,기념품점,남,40대,2016,4,3026285.3775993856
2016-04-01,제주시,삼도2동,정장(여성),남,30대,2016,4,1895113.4550085287
2016-04-01,제주시,연동,의원,여,30대,2016,4,3346921.4282869166
2016-04-01,제주시,노형동,농축수산품,남,50대,2016,4,5128386.133608098
2016-04-01,서귀포시,성산읍,농축수산품,여,20대,2016,4,7375056.580080783
2016-04-01,서귀포시,대륜동,농축수산품,남,20대,2016,4,1306029.047120645
2016-04-01,제주시,연동,기념품점,여,50대,2016,4,2800417.166056364
2016-04-01,서귀포시,남원읍,농축수산품,남,30대,2016,4,6689658.271005518
2016-04-01,제주시,노형동,기념품점,남,20대,2016,4,1833401.9932862716
2016-04-01,제주시,삼도2동,정장(여성),남,50대,2016,4,1292287.5083867596
2016-04-01,제주시,삼도2동,정장(여성),여,30대,2016,4,2713427.193929185
2016-04-01,제주시,용담2동,기타음료식품,여,50대,2016,4,1788156.065950897
2016-04-01,서귀포시,남원읍,기념품점,여,40대,2016,4,973006.724117879
2016-04-01,제주시,이도2동,농축수산품,여,30대,2016,4,8966376.695887089
2016-04-01,제주시,이도2동,농축수산품,남,20대,2016,4,1379891.2401060956
2016-04-01,제주시,연동,농축수산품,여,30대,2016,4,3343768.802360138
2016-04-01,서귀포시,성산읍,농축수산품,남,20대,2016,4,4034164.5137437615
2016-04-01,제주시,이도2동,슈퍼마켓,여,40대,2016,4,24407295.897481278
2016-04-01,제주시,노형동,농축수산품,여,20대,2016,4,1046893.0054071499
2016-04-01,제주시,이도2동,슈퍼마켓,여,50대,2016,4,20585462.50499511
2016-04-01,서귀포시,남원읍,기념품점,여,30대,2016,4,991723.870766697
2016-04-01,서귀포시,남원읍,기타음료식품,남,40대,2016,4,1866911.8685402703
2016-04-01,제주시,연동,의원,여,50대,2016,4,1476390.1959360458
2016-04-01,서귀포시,남원읍,농축수산품,남,20대,2016,4,1069488.8224509207
2016-04-01,제주시,노형동,의원,여,20대,2016,4,4758081.790739962
2016-04-01,제주시,연동,농축수산품,남,30대,2016,4,4462943.485306949
2016-04-01,서귀포시,남원읍,기념품점,남,50대,2016,4,667204.185192581
2016-04-01,제주시,삼도2동,정장(여성),여,20대,2016,4,1726171.3390495596
2016-04-01,제주시,연동,기념품점,남,30대,2016,4,3650877.9475252535
2016-04-01,제주시,애월읍,농축수산품,남,30대,2016,4,3535192.6351959133
2016-04-01,제주시,삼도2동,농축수산품,여,40대,2016,4,826446.9099173086
2016-04-01,제주시,연동,의원,남,20대,2016,4,540727.0274135635
2016-04-01,서귀포시,남원읍,기타음료식품,여,50대,2016,4,1648769.757182031
2016-04-01,제주시,용담2동,슈퍼마켓,여,50대,2016,4,3570917.6196304485
2016-04-01,제주시,용담2동,기타음료식품,여,40대,2016,4,1114552.300665828
2016-04-01,제주시,용담2동,기념품점,여,50대,2016,4,36542914.630275704
2016-04-01,제주시,이도2동,정장(여성),여,20대,2016,4,6006812.561897904
2016-04-01,서귀포시,남원읍,농축수산품,여,20대,2016,4,1705837.2207093188
2016-04-01,제주시,노형동,농축수산품,남,20대,2016,4,665537.4284257748
2016-04-01,제주시,이도2동,기타음료식품,여,40대,2016,4,573101.3598728738
2016-04-01,제주시,노형동,의원,남,40대,2016,4,4362443.518230993
2016-04-01,제주시,용담2동,의원,남,30대,2016,4,507286.40827858774
2016-04-01,서귀포시,남원읍,기타음료식품,여,30대,2016,4,2251250.081478816
2016-04-01,서귀포시,남원읍,기념품점,여,50대,2016,4,583830.3060813028
2016-04-01,서귀포시,성산읍,의원,여,50대,2016,4,368736.31297050364
2016-04-01,제주시,용담2동,기념품점,남,50대,2016,4,37771842.77706986
